algo,size,time/ns
cpu_histogram,10,0
cpu_histogram,100,0
cpu_histogram,1000,1907.348633
cpu_histogram,10000,20980.83496
cpu_histogram,100000,207901.001
cpu_histogram,1000000,2223968.506
his_nostride,10,12874.60327
his_nostride,100,14066.69617
his_nostride,1000,13828.27759
his_nostride,10000,20027.16065
his_nostride,100000,56028.36609
his_nostride,1000000,438213.3484
his_stride,10,15020.37048
his_stride,100,15020.37048
his_stride,1000,17166.1377
his_stride,10000,20027.16065
his_stride,100000,78916.54968
his_stride,1000000,501871.109
