algo,op,size,time/ns
cpu_reduction,+,10,0
cpu_reduction,*,10,0
cpu_reduction,min,10,0
cpu_reduction,max,10,0
cpu_reduction,+,100,953.674316
cpu_reduction,*,100,0
cpu_reduction,min,100,2145.767212
cpu_reduction,max,100,1907.348633
cpu_reduction,+,1000,10013.58032
cpu_reduction,*,1000,10967.25464
cpu_reduction,min,1000,3814.697266
cpu_reduction,max,1000,10013.58032
cpu_reduction,+,10000,31948.0896
cpu_reduction,*,10000,94890.59448
cpu_reduction,min,10000,33855.43823
cpu_reduction,max,10000,72002.41089
gpu_reduction,+,10,3069162.369
gpu_reduction,*,10,3112077.713
gpu_reduction,min,10,3118991.852
gpu_reduction,max,10,3108024.597
gpu_reduction,+,100,3076076.508
gpu_reduction,*,100,3103017.807
gpu_reduction,min,100,3089904.785
gpu_reduction,max,100,3124952.316
gpu_reduction,+,1000,3137111.664
gpu_reduction,*,1000,3083944.321
gpu_reduction,min,1000,3124952.316
gpu_reduction,max,1000,3139972.687
gpu_reduction,+,10000,3077030.182
gpu_reduction,*,10000,3069162.369
gpu_reduction,min,10000,3089904.785
gpu_reduction,max,10000,3077030.182
less_divergence,+,10,3123998.642
less_divergence,*,10,3108978.271
less_divergence,min,10,3117084.503
less_divergence,max,10,3165006.638
less_divergence,+,100,3087997.437
less_divergence,*,100,3109931.946
less_divergence,min,100,3129005.432
less_divergence,max,100,3160953.522
less_divergence,+,1000,3122806.549
less_divergence,*,1000,3164052.963
less_divergence,min,1000,3097772.598
less_divergence,max,1000,3139019.012
less_divergence,+,10000,3086090.088
less_divergence,*,10000,3154993.057
less_divergence,min,10000,3139972.687
less_divergence,max,10000,3106832.504
